"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Age dependency ratio (% of working-age population)","SP.POP.DPND","83.5007896770725","83.1878159259502","83.1997414350356","82.9016038696538","82.2390677859917","81.2189783272189","79.9314153920855","78.2979870596693","76.5346710995013","74.9528190610993","73.4178329372414","71.8560074801309","69.9214689918004","67.5434635357869","65.0345036153191","62.632594021215","60.2456333307146","58.0320872113951","56.3120315981365","54.9956255468067","54.1414991583325","54.0850477409194","54.0955589736078","53.6751930501931","53.167215618884","52.3618232945013","51.2830728129174","50.173590884731","49.2898913951545","49.0585194757246","49.9577827982018","52.0114685064062","52.5846702317291","51.1804278789905","49.6924402412391","47.9615938550168","46.2425191050548","45.0046056827039","44.1768647022629","43.6380772855796","43.2146588443301","42.9172510518934","42.7143101491191","42.4569329829576","42.171018633918","42.1324989469884","42.4128223079558","42.7825394249635","43.1789956606227","43.5732685016353","43.5910645544441","43.2786838866649","43.1443190579659","43.2769305758652","43.6351787917863","44.1905815642072","44.8695988507017","45.5997901045335","46.368483575987","47.139243306009","47.6853583849469","47.8052164261931","",
"Africa Eastern and Southern","AFE","Age dependency ratio (% of working-age population)","SP.POP.DPND","89.5946042178647","89.8733697542478","90.1917206553846","90.5746781015064","90.952718961798","91.3468207009387","91.7855001025185","92.211969355602","92.6173994673612","93.018886796907","93.462966018521","93.9225490350323","94.3642443635652","94.6906944760399","94.84871656778","94.967374402521","95.1485687247809","95.2768951052445","95.2705420413199","95.276718367984","95.1904070721839","95.1257765164665","95.1343984707604","95.0067167765442","94.771359760358","94.5482686740449","94.3911028118558","94.3806719527055","94.4792946284357","94.5470369129104","94.58017009921","94.6125925709988","94.6688377279976","94.7860170830562","94.4834842862161","94.007709376772","93.8898062006008","93.7274701241202","93.2683366436989","92.6539651503141","92.0447323060712","91.4024553469591","90.7713963066558","90.188457424482","89.6481046249589","89.1760453703659","88.7483584564346","88.345800668906","87.9745971694659","87.6195968697223","87.2384546339211","86.8230650262992","86.4077669289399","85.9761976469425","85.4993959993441","84.9575713490514","84.4394876573323","83.9309992508527","83.3424061488355","82.6920760434231","81.9689799048327","81.1900041435075","",
"Afghanistan","AFG","Age dependency ratio (% of working-age population)","SP.POP.DPND","80.0511140452116","80.2223403638055","80.4019428356728","80.7153176723975","81.2195570776344","81.9948151777348","82.9547220515755","83.9080734299929","84.844149840251","85.7608236393441","86.6448019898649","87.4931472039316","88.3135747410361","89.1082559466649","89.8921778983089","90.6568710275525","91.3963748380097","92.1199380239751","92.8245090478266","93.5076213247489","94.1649734199003","94.7913307062429","95.3689516378915","95.8301339283079","96.2442706851614","96.654713983031","97.0774990323844","97.4919292907533","97.9160174115684","98.3606926030078","98.890488019015","99.5570070442807","100.302195104974","101.072115827794","101.988301174065","103.028465438358","104.143895795481","105.28866321665","106.419012513191","107.472472222883","108.346634638347","108.989885630326","109.347156856031","109.447532468806","109.286819841522","107.964604634786","106.326191061417","108.338124901525","109.240378534809","106.845774392516","105.433416353011","102.585972002296","99.3003598680057","97.1255336528636","94.7066970972784","93.0424476640396","92.0121249200047","90.5430941060045","89.0914511265535","87.649321552026","85.9595495980435","84.5992570171333","",
"Africa Western and Central","AFW","Age dependency ratio (% of working-age population)","SP.POP.DPND","80.7717874097349","81.1126364407664","81.5403354374412","82.1424198825617","82.9982819104121","83.7583303441057","84.2975865463832","84.8112788838526","85.3022648472895","85.7858622901922","86.2341527692069","86.6831784854249","87.1572245587841","87.6262144663301","88.1122796342066","88.6282354728995","89.1214373750281","89.6002825001826","90.1444209815632","90.7291338592838","91.3558176356327","92.0064389783618","92.6090818655814","93.2737760373562","94.0315379058977","94.7161066314946","95.2128046053713","95.4840137956634","95.4114222183253","95.1896136889208","94.9792358469348","94.6595715949776","94.2072271229238","93.6671950688283","93.099393289262","92.4843074965826","91.8880110669225","91.3594714474022","90.8131449788063","90.3474004302219","90.0511094007866","89.9028782414763","89.7998367123792","89.6646679914018","89.5332166333334","89.4676345990404","89.4819815263521","89.5129811806205","89.5448403410866","89.5803554630293","89.621875392273","89.6764296915601","89.7508089567928","89.7395174820416","89.533203473707","89.2094840060241","88.7948893410235","88.2689815233953","87.6769656356236","87.0413096081786","86.3069202655725","85.4954509572828","",
"Angola","AGO","Age dependency ratio (% of working-age population)","SP.POP.DPND","82.8713130515254","84.5793571427602","86.4086798519642","88.3543943596879","90.5098958931489","92.516899731893","94.2515798974808","95.9013525002244","97.397623708155","98.6607358279136","99.904319640035","100.647739165855","100.315451158417","99.4685673636199","98.5577731386779","97.6622453866615","96.8067963368507","95.9117456366517","95.0012119216963","94.1888111854345","93.4548755695043","92.855518177642","92.4298525926936","92.1473124831967","92.068741091982","92.2404664693352","92.6627753384464","93.2454270702982","93.8309753165758","94.3729786618737","94.8630941496451","95.3621055994888","95.7993187288498","96.1955287666978","96.5633326855217","96.7043987631262","96.6482697068682","96.475901123301","96.2036235492397","95.9098748705106","95.5754123244731","95.218156582781","94.870017412003","94.5219865597324","94.2035019095362","93.9476654289527","93.7598964888649","93.6282113622307","93.5764264907842","93.5813454648819","93.5865714749235","93.564316856464","93.5445035012493","93.5357206512902","93.50197258566","93.4474130485586","93.2905807499209","93.0134888756629","92.6985720227367","92.3135596096688","91.9259640912821","91.4739484069112","",
"Albania","ALB","Age dependency ratio (% of working-age population)","SP.POP.DPND","87.0127937767796","88.4027537358752","89.7636546701323","90.9214291749078","91.713904670116","91.9783189462143","91.7747790340804","91.2959104326254","90.563027641115","89.5864279215569","88.3626795659545","86.9204159344128","85.3296252966099","83.5665794424792","81.6474632917576","79.6591391294473","77.6314610638267","75.5975867388","73.6058513855234","71.6943277552051","69.9533899760462","68.4219631073276","67.0830122827358","65.9237720067957","64.933942469044","64.117957379062","63.4476974506002","62.9098560937095","62.5203581271919","62.2514851952958","62.0784545606528","61.980403425062","61.9579064136955","61.9862963849701","62.0387504439282","62.0826077340201","62.0083294297654","61.7219689478483","61.2050197994038","60.497458909923","59.6572954321563","58.7136107379766","57.6869962146976","56.621575595688","55.5027612956256","54.299368197336","53.0483635461657","51.7842468273697","50.5586730588966","49.396599852416","48.3527010386142","47.5140598628237","46.9229966526451","46.5864407500534","46.4344309864281","46.4131186668273","46.5528934762326","46.723001108545","46.9149337482907","47.2803971247671","47.6966322543307","48.1832229557306","",
"Andorra","AND","Age dependency ratio (% of working-age population)","SP.POP.DPND","50.822552307938","51.1019080017749","51.3951890034364","51.6914402870323","52.0124580737901","52.1709861999327","52.7034120734908","53.9348909961873","54.9537289058247","55.1770544200522","54.7090441691984","53.8383838383838","52.7055046485185","51.4246694394438","50.1414631329754","48.9518779975212","47.867346423704","46.8656574763916","45.921247144201","44.9458713648907","43.7046004842615","42.1538106768131","41.334358636347","41.1386881697909","40.5752182896754","39.6258286588475","38.929507098032","38.6258475686058","38.2734614313562","37.9062625183603","37.5009625503735","36.9992338679782","36.5181124880839","36.1951466592992","36.0125679650593","35.9694042911778","36.2865702084263","36.944509135562","37.6335458806638","38.2909259415284","38.8796671779463","38.892871039751","38.390467819123","37.9049111807732","37.3729978751138","36.6930374327888","36.6207977110937","37.0887407927043","37.3453724604966","37.4432368048835","37.2567458641999","37.4396229354939","38.0984792501264","38.652082685732","38.9708165166097","39.0668915120854","39.0888347746055","38.6584289496911","38.1309271706104","37.9583280625983","37.9879239921861","38.1405998741523","",
"Arab World","ARB","Age dependency ratio (% of working-age population)","SP.POP.DPND","88.9180432642631","89.8143550262978","90.5860338269187","91.3088020444038","91.9472604820529","92.515820048688","93.0280046250355","93.4249401734825","93.6421530632602","93.7435984053924","93.8272928959332","93.8984946401742","93.970906953726","94.0058894750988","93.9036766303064","93.9336260345425","94.092841669025","93.9305082781338","93.521927420711","93.0729219014676","92.5859647242384","92.0966611983031","91.6099760991428","91.1294615012222","90.6718554047863","90.2103136328136","89.7549300987538","89.297814889838","88.7629315156436","88.1289918590314","87.5419131943862","86.6137186112616","85.5423908176867","84.4197084393496","83.1802527085349","81.8268729636529","80.3842316694916","78.8568545189777","77.3010822582387","75.7561362472674","74.2433939413154","72.794770880145","71.4258027926986","70.1306679279899","68.9053576013254","67.6484120972936","66.2407449358691","64.7989344494778","63.6526691826555","62.8091249470266","62.2515246693178","62.0692598121724","62.1152597486751","62.3252036328224","62.5876568717821","62.7380176309111","62.7064487296601","62.5635813139034","62.3672881308218","62.1361642524949","62.0121261851651","61.8347863872138","",
"United Arab Emirates","ARE","Age dependency ratio (% of working-age population)","SP.POP.DPND","69.1000342192312","66.7214588112864","64.7623896057903","63.1949858118432","61.9795596405789","61.108124142534","60.5844104423112","60.3733588048496","58.5035881527878","54.7176727166098","50.8944842667963","47.659397555247","45.1032891281998","43.1689736680836","41.8172174128622","41.0072502504113","40.0407231668305","39.1675083329888","38.9891740370209","39.333282208589","39.941072968777","41.254623727151","43.0370460187808","44.5575918982374","45.867142955892","46.9235783025258","47.7281962767605","47.8549474221465","47.1029041727826","45.839420692327","44.3311576495931","42.7609884739642","41.2373060535842","39.7926077202443","38.3926422728237","36.9774543228024","35.9711709311999","34.9695594412915","33.4107608048316","31.6677017089036","29.9922171328648","28.5388199220029","27.3629132633694","26.4347915461344","25.6772318240656","24.6528219598973","22.5096840825942","19.8062698219376","17.6434396391589","16.3029050388911","16.1720159473084","16.7166982554163","17.0829420420473","17.3157572883286","17.4758844709474","17.6357466854298","17.8641682045739","18.2093561711013","18.6930269395725","19.3078436050447","19.8968328056032","20.3390385875641","",
"Argentina","ARG","Age dependency ratio (% of working-age population)","SP.POP.DPND","56.9526055037451","56.9555486018988","56.9327282990642","56.9098564419843","56.9053236967042","56.900978052948","56.8791897196805","56.8565652120929","56.8345317882967","56.8361210154405","56.9031679724051","57.0556077596433","57.2698974794625","57.5945067700744","58.07665245433","58.6618293072217","59.3300723814474","60.0514153079649","60.7862416011979","61.5142862211902","62.2017961956712","62.8120029404339","63.320812702074","63.7379429367282","64.0687020503558","64.3070720568504","64.4544916009722","64.5169416630526","64.4918214727521","64.374830691313","64.2132713974083","64.0373708207606","63.8194046946686","63.5588524841452","63.2802602697772","62.9748102437922","62.6268491612687","62.2400368111599","61.8400985730562","61.4607949663286","61.0879724896863","60.685565292786","60.254560271933","59.7829352406019","59.3017988892854","58.8384581557095","58.3750284439848","57.9051365634472","57.433559542917","56.9963714860468","56.6256126111939","56.3546668780625","56.1922783212828","56.0868723571096","55.9732762411572","55.8644592427226","55.7543621214315","55.6112391046053","55.4071736223346","55.1353088624017","54.7600781645305","54.2701483886344","",
